ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
0,0,1,41.0,1,3,6.0,2,0,3,3.0,1,3.0,2,1.0,1,2,1,0.0,2,20993.0
1,1,0,49.0,0,1,14.0,2,1,3,4.0,1,4.0,0,2.0,0,3,1,2.0,2,20130.0
2,2,1,37.0,1,1,8.0,0,1,3,4.0,0,3.0,2,7.0,1,3,0,0.0,1,17090.0
3,3,0,33.0,0,1,9.0,2,0,2,3.0,0,3.0,0,2.0,1,5,1,1.0,1,17909.0
4,4,0,36.0,1,1,8.0,3,1,2,3.0,0,4.0,0,1.0,0,5,1,0.0,1,18468.0
5,5,0,32.0,0,1,8.0,2,1,3,3.0,0,3.0,2,1.0,0,5,1,1.0,1,18068.0
6,6,0,59.0,1,1,9.0,3,0,2,2.0,0,5.0,0,5.0,1,2,1,1.0,1,17670.0
7,7,0,30.0,1,1,30.0,2,1,3,3.0,0,3.0,1,2.0,0,2,0,1.0,1,17693.0
8,8,0,38.0,0,1,29.0,2,1,2,4.0,3,3.0,3,1.0,0,3,0,0.0,3,24526.0
9,9,0,36.0,1,1,33.0,3,1,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0
10,10,0,35.0,1,1,22.0,3,1,2,2.0,0,4.0,0,1.0,0,3,1,1.0,1,17426.0
11,11,0,36.0,1,1,21.0,2,0,2,4.0,1,3.0,2,1.0,1,3,0,0.0,2,22347.0
12,12,0,31.0,1,1,32.0,2,1,2,3.0,0,3.0,1,2.0,0,3,0,1.0,1,17911.0
13,13,0,34.0,1,1,25.0,3,1,3,3.0,0,3.0,1,1.0,0,3,0,2.0,1,17661.0
14,14,1,28.0,1,1,30.0,2,1,2,4.0,0,3.0,2,6.0,1,2,0,0.0,1,17028.0
15,15,0,29.0,1,1,27.0,2,0,2,2.0,3,5.0,1,2.0,0,5,1,1.0,3,24980.0
16,16,0,32.0,1,1,11.0,2,1,3,2.0,0,4.0,1,1.0,1,2,1,0.0,1,18298.0
17,17,0,22.0,0,1,22.0,3,1,3,2.0,0,3.0,1,2.0,1,3,0,0.0,1,17935.0
18,18,0,53.0,1,3,8.0,2,0,3,4.0,4,3.0,0,3.0,0,3,1,0.0,0,30427.0
19,19,0,36.0,1,1,8.0,2,1,2,3.0,0,3.0,2,6.0,1,4,0,1.0,1,22347.0
20,20,0,36.0,0,1,17.0,2,0,3,2.0,1,3.0,1,1.0,0,3,1,2.0,2,22347.0
21,21,1,36.0,1,3,15.0,2,1,2,4.0,1,5.0,2,1.0,0,2,0,0.0,2,18407.0
22,22,0,34.0,1,1,13.0,2,0,2,3.0,3,4.0,3,1.0,0,3,1,0.0,3,26994.0
23,23,0,21.0,1,1,21.0,2,1,3,3.0,0,3.0,2,2.0,0,3,1,1.0,1,16232.0
24,24,1,34.0,1,1,12.0,3,1,2,3.0,0,5.0,2,3.0,0,2,1,1.0,1,17960.0
25,25,0,53.0,1,1,11.0,2,0,2,3.0,2,3.0,1,5.0,0,5,0,1.0,4,34094.0
26,26,1,36.0,0,1,22.0,2,0,3,5.0,0,5.0,2,2.0,1,4,1,2.0,1,22347.0
27,27,0,42.0,1,3,14.0,3,1,2,3.0,1,4.0,0,1.0,0,3,0,1.0,2,21825.0
28,28,0,44.0,1,1,13.0,3,0,2,4.0,3,3.0,0,4.0,0,4,1,0.0,3,25248.0
29,29,0,46.0,1,3,8.0,3,0,2,3.0,2,5.0,2,4.0,0,2,0,1.0,4,33947.0
30,30,0,33.0,1,1,8.0,3,1,3,3.0,0,3.0,2,5.0,0,3,1,2.0,1,17496.0
31,31,0,44.0,1,1,16.0,2,1,2,3.0,1,3.0,0,3.0,1,3,1,1.0,2,21465.0
